,ubicacion,alternativa,texto,matchType,ubicacionEncontrada,scoreMejorMatch,tipoUbicacionEncontrada,time_ms,truthLocation,truthTypeLocation,foundExactLocation,foundLocationType
15,ramon-marquez#av-gral-garibaldi,av-gral-garibaldi#ramon-marquez,verdenow22 ademas instalan esquina lado enfrente lavadero taxis realizando actividad via publica fijarse ademas complejidad cruce garibaldi termina ahi lado empieza ramon marquez hacen mas angostos carriles,cruces_vias,ramon-marquez#av-gral-garibaldi,322530.848343,cruces_vias,122.488,True,True,True,True
16,jose-benito-lamas#jose-ellauri,jose-ellauri#jose-benito-lamas,44uruguay33 hola tipo errores registro debes acudir oficina alli daran informacion ayuda necesaria corregir error completar proceso recuerda oficina ubicada montevideo jose ellauri 938 esquina benito lamas,cruces_vias,jose-benito-lamas#jose-ellauri,126590.202381,cruces_vias,251.678,True,True,True,True
17,iturbe#av-lezica,av-lezica#iturbe,vendimia pronto comenzar edicion 2020 fiesta vendimia municipio castillo idiarte borda av lezica esquina iturbe,cruces_vias,iturbe#av-lezica,355426.929,cruces_vias,22.013,True,True,True,True
18,arturo-lezama#nicaragua,nicaragua#arturo-lezama,imtransito mmvs1985 montevideoim cerquita alli lezama 1943 lezama esquina nicaragua todas mananas reservan lugar cajones plastico podran pasar tambien,cruces_vias,arturo-lezama#nicaragua,87041.4611538,cruces_vias,18.345,True,True,True,True
19,canelones#bv-gral-artigas,bv-gral-artigas#canelones,promo vuelta clases optica briozzo esperamos tres sucursales canelones montevideo canelones treinta tres 518 esquina artigas canelones batlle ordonez 161 frente comeca montevideo,cruces_vias,bv-gral-artigas#canelones,16860.3026677,cruces_vias,185.289,True,True,True,True
20,dr-aquiles-r-lanza#san-jose,san-jose#dr-aquiles-r-lanza,hola montevideoim esquina san jose aquiles lanza curandera im boca tormenta destrozada sector notifica reparacion,cruces_vias,dr-aquiles-r-lanza#san-jose,720272.849633,cruces_vias,131.527,True,True,True,True
21,andes#san-jose,san-jose#andes,hora esperando bus esquina san jose andes llegan tres si 3 116 juntos sera administracion recursos cutcsaok imtransito,cruces_vias,andes#san-jose,1191541.4448,cruces_vias,141.842,True,True,True,True
22,marco-bruto#bv-26-de-marzo,bv-26-de-marzo#marco-bruto,imtransito montevideoim cartel ceda paso pare esquina marco bruto 26 marzo posible semejante cruce indicativo preferencia circula 26 marzo,cruces_vias,marco-bruto#bv-26-de-marzo,80118.4337407,cruces_vias,52.542,True,True,True,True
23,gral-francisco-caraballo#av-gral-rondeau,av-gral-rondeau#gral-francisco-caraballo,alias20301 chdica imtransito montevideoim esquina rondeau caraballo modificaron calles veredas cierre rambla portuaria solo pensaron autos silenciosaviolenciacontraelpeaton,cruces_vias,gral-francisco-caraballo#av-gral-rondeau,62488.0761217,cruces_vias,118.728,True,True,True,True
24,ejido#mercedes,mercedes#ejido,ahora jornada propaganda salen pasacalles montevideo alvaro villar intendente 19 00hs plenario abierto ideal sumarse militar mercedes 1368 esquina ejido,cruces_vias,ejido#mercedes,67968.1377647,cruces_vias,29.188,True,True,True,True
25,-,-,charlas vecinos municipio calles irun esquina castellar barrio olvidado muchas necesidades escuchando necesidades,-,-,0.0,-,7.887,False,False,False,True
26,gral-francisco-caraballo#av-gral-rondeau,av-gral-rondeau#gral-francisco-caraballo,chdica jorgewlarranaga imagino ocupaste rondeau esquina caraballo imposible cruzar cualquier horario unica manera tirarse adelante vehiculos gracias chdica espero respuesta,cruces_vias,gral-francisco-caraballo#av-gral-rondeau,8926.86801739,cruces_vias,16.725,True,True,True,True
27,dr-lauro-muller#dr-pablo-de-maria,dr-pablo-de-maria#dr-lauro-muller,buena propuesta junto excelentes vinos pisanowines taller quesos artesanales montevideo domingo 26 abril 10 18 30hs esquina social club pablo 899 esq lauro muller plazas limitadas mas info,cruces_vias,dr-lauro-muller#dr-pablo-de-maria,28820.5241455,cruces_vias,192.431,True,True,True,True
28,cinemateca-18&av-18-de-julio-1286,cinemateca-18&av-18-de-julio-1286,8m 2020 montevideo uruguay part 3 colectivo afro feminista momento pasar frente sede cinemateca 18 18 julio esquina aquiles lanza,lugares_interes,cinemateca-18&av-18-de-julio-1286,237932.58528,lugares_interes,144.553,True,True,True,True
29,constituyente#juan-manuel-blanes,juan-manuel-blanes#constituyente,imtransito rotos semaforos blanes esquina maldonado constituyente,cruces_vias,juan-manuel-blanes#constituyente,43111.8249,cruces_vias,21.962,True,True,True,True
30,world-trade-center-montevideo&world-trade-center-montevideo,world-trade-center-montevideo&world-trade-center-montevideo,manana datos muerden charla dictara director mauricio giacometti importancia datos analizarlos jueves 5 3 8 30 world trade center montevideo bonavita 1266 torre 4 sala tempus,geonames,world-trade-center-montevideo&world-trade-center-montevideo,438358.113419,geonames,43.987,True,True,True,True
31,departamento-de-montevideo&departamento-montevideo-departamento-de-montevideo-montevideo,departamento-de-montevideo&departamento-montevideo-departamento-de-montevideo-montevideo,cris deluca quiosque da facal ali atras mim do gardel do outro lado da rua tem uma pasiva espacio b a av 18 julio esquina 11100 montevideo departamento montevideo uruguai 598 2903 2836,geonames,departamento-de-montevideo&departamento-montevideo-departamento-de-montevideo-montevideo,38697.3831065,geonames,99.93,True,True,True,True
32,montevideo-shopping&montevideo-shopping,montevideo-shopping&montevideo-shopping,cajero sacar plata ir feria esquina casa queda mas cerca montevideo shopping bermuda remera ojotas termo mate arranque ahi escuchando musica conoce sabe escucho musica volumen alto,geonames,montevideo-shopping&montevideo-shopping,130121.82547,geonames,116.678,True,True,True,True
33,world-trade-center-montevideo&world-trade-center-montevideo,world-trade-center-montevideo&world-trade-center-montevideo,datos muerden charla dictara director mauricio giacometti importancia datos analizarlos jueves 5 3 8 30 world trade center montevideo bonavita 1266 torre 4 sala tempus,geonames,world-trade-center-montevideo&world-trade-center-montevideo,438358.113419,geonames,35.139,True,True,True,True
34,dr-joaquin-de-salterain#av-gral-rivera,av-gral-rivera#dr-joaquin-de-salterain,usofallido vivi montevideo unica forma comunicarme familia interior si habre usado esquina rivera salterain,cruces_vias,av-gral-rivera#dr-joaquin-de-salterain,23109.1930291,cruces_vias,23.742,True,True,True,True
35,-,-,pasaron esquina gritaron ridicula,-,-,0.0,-,7.185,False,False,False,True
36,-,-,espero minimo 6 policias esquina casa,-,casa-bello&casa-bello,254.46265856,geonames,35.569,False,False,True,False
37,-,-,andresguzbj eramos norte ciudad teniamos lindavista esquina insurgentes montevideo esquina semejaba castillo ahora templo san diego,-,castillo-pitamiglio&castillo-pitamiglio,1483.18158136,geonames,97.724,False,False,True,False
38,-,-,tunato che llamame vemos esquina montevideo enseno cosas imbecil,-,espacio-libre-enrique-che-guevara&espacio-libre-enrique-che-guevara,1.80085219384,geonames,10.654,False,False,True,False
39,-,-,falta viernes 27 marzo lacomediamr rosario jorgefandermole junto cabrera uy esperamos canciones cantautor rosario montevideo uruguay argentina,-,cempre-uruguay&cempre-uruguay,1514.6396125,geonames,74.849,False,False,True,False
40,-,-,santa casa galicia montevideo,-,casa-bello&casa-bello,254.46265856,geonames,38.501,False,False,True,False
41,-,-,gracinas casa galicia montevideo,-,casa-bello&casa-bello,254.46265856,geonames,34.55,False,False,True,False
42,-,-,santa casa galicia montevideo,-,casa-bello&casa-bello,254.46265856,geonames,36.505,False,False,True,False
43,-,-,pleno centro montevideo pasada medianoche cruzo camioneta pado plaza bomberos vienen cuidarnos respetar espacios publicos restauracion horror debe denunciarse organismos derechos humanos uruguay mundo,-,unicef-uruguay&unicef-uruguay,1514.6396125,geonames,96.214,False,False,True,False
44,-,-,martinmadruga esman6ia cdf im nacional galpon esquina mas historico gallinero,-,hotel-nacional&hotel-nacional,2735.41030437,geonames,46.536,False,False,True,False
45,-,-,ernesto64198570 seacaboelrecre0 gus uy lauraraffo jorgewlarranaga luislacallepou peor asesinatos vuelta esquina,-,-,0.0,-,6.538,False,False,False,True
46,-,-,mariazanocchi montevideoim alfredoghierra esquina cartel beatles salvo,-,-,0.0,-,8.04,False,False,False,True
47,-,-,pompo nita brod panaderia pasteleria esquina chile montevideo mendoza parece algarroba rompen,-,arroyo-de-mendoza&arroyo-mendoza-arroyo-de-mendoza-arroyo-de-mendoza-de-miguelete-mendoza,287.959534226,geonames,19.158,False,False,True,False
48,-,-,espiral,-,-,0.0,-,4.788,False,False,False,True
49,-,-,esperamos comitedistrital08 avenida paris 1243 esquina montevideo colonia san isidro torreon tenemosalgoquedecir procesoelectoral2020,-,nuevo-paris&balneario-nuevo-paris-nuevo-paris-nuevo-paris,698.039631856,geonames,55.14,False,False,True,False
50,-,-,cubiellagustavo sierra lima decadas esquina mas aspera montevideo,-,casa-jose-pedro-sierra-morato&casa-jose-pedro-sierra-morato,72.0215932101,geonames,15.484,False,False,True,False
51,-,-,santa gracinas casa galicia montevideo,-,casa-bello&casa-bello,254.46265856,geonames,45.318,False,False,True,False
52,-,-,alegattisilvera explico caballo montevideanos animal forrado cuero pata cada esquina,-,punta-sayago&punta-caballo-punta-sayago-punta-de-sayago,27.9105645512,geonames,11.054,False,False,True,False
53,-,-,stopquierobajar verdenow22 imtransito montevideoim dinamica taller mecanico existente esquina genera constantemente interferencias transito,-,-,0.0,-,9.972,False,False,False,True
54,-,-,universocentro sandrirena pelucavieja antropogata coloresmari catatrujillou danielup rabodeajip davideufrasio perroacuadros lectora esquina centro montevideo,-,-,0.0,-,9.212,False,False,False,True
55,-,-,verdenow22 cossecarolina alvillar dmartinez uy frente amplio fiorellabuzeta peatonesmvd unibiciur rodrguez1948 chdica pepi goncalvez q esquina,-,-,0.0,-,11.995,False,False,False,True
56,-,-,lauraraffo pituca ridicula si conoces barrios montevideo si nombro cualquier esquina ciudad tenes idea,-,-,0.0,-,9.321,False,False,False,True
57,-,-,8m mas 350 mil personas marcha montevideo movimiento feminista vuelve demostrar mas fuerte momento,-,punta-de-fuerte&punta-de-fuerte,761.56084224,geonames,19.903,False,False,True,False
58,-,-,pitschwarz emilianocaffera imtransito montevideoim esquina terrible siempre algun pelotudo tapa rampa,-,-,0.0,-,9.47,False,False,False,True
59,-,-,comprenle productos limpieza prima esperando bbcita laburo rt sepa montevideo porfi,-,-,0.0,-,9.161,False,False,False,True
60,-,-,magnnets naci montevideo si sacan centro mapa siento primer esquina llorar posicion fetal,-,centro&centro,10927.116,geonames,49.148,False,False,True,False
61,-,-,fedelosa imtransito supongo cualquier esquina habilita misma luz verde vos doblar auto peaton cruzar,-,playa-verde&playa-la-verde,42.2466167424,geonames,13.597,False,False,True,False
62,-,-,declaracion mensajes amenazantes banos edificio principal facultad montevideo 3 marzo 2020,-,edificio-zeus&edificio-zeus,823.272434483,geonames,68.106,False,False,True,False
63,-,-,cualquier esquina montevideo,-,-,0.0,-,4.688,False,False,False,True
64,-,-,marcospisano1 fa solo dejo tirado interior montevideo tierra nadie gran zona roja cualquier esquina quitan vida,-,cruz-roja-uruguaya&cruz-roja-uruguaya,50.4800992044,geonames,12.96,False,False,True,False
65,-,-,futuro incerto da casa galicia montevideo,-,casa-bello&casa-bello,254.46265856,geonames,33.852,False,False,True,False
66,-,-,pasa na costa futuro incerto da casa galicia montevideo,-,casa-bello&casa-bello,254.46265856,geonames,39.884,False,False,True,False
67,-,-,esquina olor montevideo dice fabri habia olor pichi mugre jajajajajaja concha lora,-,-,0.0,-,7.922,False,False,False,True
68,-,-,terminando bolsa abajo deposito todavia necesitaria cambio cierre casa portafolio esquina palma montevideo asuncion 1992 cuero asuncion paraguay,-,asuncion#paraguay,126371.224381,cruces_vias,88.265,False,False,True,False
69,-,-,sosamacho joseluismagnone mdafonte1881 lauraraffo dmartinez uy alvillar cossecarolina ceder paso peaton esquina situacion,-,paso-molino&paso-molino-paso-del-molino,48.8976694816,geonames,19.916,False,False,True,False
70,-,-,es cierto que la gente es mugrienta innegable tambien es innegable que martinez hace agua por todos lados con este tema de la basura y que adeom hace lo que quiere si no puede con la basura y un sindicato como podria con el pais con todos los sindicatos y con el fa radical https t co kwq21krrfn,-,arroyo-de-la-tortuga&arroyo-de-la-tortuga-arroyo-de-las-tortugas-ojos-de-agua,65.4017617188,geonames,24.74,False,False,True,False
71,centro&centro,centro&centro,recorrer de nochecita el centro de mvd ver la basura y la suciedad la cantidad de locales vacios la cantidad de gente acomodandose en umbrales para pasar la noche sentir la sensacion de inseguridad es una fiel fotografia del resultado de 15 anos de gobierno frenteamplista,,centro&centro,10927.116,geonames,97.12,True,True,True,False
72,guzman-papini#cno-domingo-arena,cno-domingo-arena#guzman-papini,montevideoim imambiente chdica en domingo arena y guzman papini asi estan los contenedores ahora https t co w30xqejpzj,cruces_vias,guzman-papini#cno-domingo-arena,846734.007249,cruces_vias,29.374,True,True,True,True
73,-,-,dmartinez uy erradicacion de basurales pero si montevideo es un gran basural,-,gran-hotel-america&gran-hotel-america,47.1302795062,geonames,8.098,False,False,True,False
74,-,-,la intendencia de montevideo hizo lo posible para que hoy no pudieramos homenajear a los caidos en la lucha antiterrorista acumulando basura e inundando la plaza de la bandera pero no lo lograron se cumplio el acto evocatorio como todos los anos https t co w3exmya6z4,-,plaza-de-la-armada&plaza-de-la-armada,40866.1405008,geonames,76.491,False,False,True,False
75,-,-,montevideo wanderers quedo eliminado de la copaconmebollibertadores felicitaciones a elclubolimpia y suerte https t co gldcj9prlk,-,-,0.0,-,6.544,False,False,False,True
76,playa-capurro&playa-capurro-playa-de-capurro,playa-capurro&playa-capurro-playa-de-capurro,vergonzosa situacion de la playa de capurro segun esta mostrando canal 10 la mugre es tremenda y uno se pregunta donde esta la intendencia de montevideo manana habra una jornada de limpieza por parte de una organizacion privada https t co q6htwf4lcz,geonames,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,17386.7554265,geonames,64.73,True,True,False,True
77,-,-,montevideo tu casa ven al fondo de la imagen una caja de carton bueno ahi dentro esta durmiendo una familia un padre la madre y su hijito mas cerca la mugre de siempre patetico https t co rms6ih6edd,-,banco-de-la-familia&banco-de-san-pedro-banco-de-la-familia-piedras-de-san-pedro,4085.45618455,geonames,73.631,False,False,True,False
78,-,-,cambiaste un mueble o electrodomestico de tu casa no lo dejes al lado del contenedor llamanos al 1950 3000 op 3 y lo pasamos a buscar gratis por tu casa,-,casa-bello&casa-bello,508.92531712,geonames,65.823,False,False,True,False
79,-,-,oi en waparadio una comerciante desesperada de rio piedras fue en vivo su negocio d comida se le inundo d gusanos y toda la calle le adjudica esa plaga a la falta d limpieza recogido d basura y escombros d municipio d san juan cerdos vacas gusanos ratas que mas,-,municipio-d&municipio-d,45947.0759,geonames,237.061,False,False,True,False
80,-,-,hola querido dmartinez uy como estas disfrutando san valentin como la gente de adeom digo porque como ayer no levantaron la basura me imagino que empezaron el festejo por adelantado besitos y que termines lindo el dia https t co ehsfubmj4q,-,maronas-entertainment-ex-sede-del-diario-el-dia&maronas-entertainment-ex-sede-del-diario-el-dia,104.033605469,geonames,61.722,False,False,True,False
81,-,-,comienza a llenarse el defensores del chaco olimpia montevideo 20 15 https t co xbtk1tzpkk,-,-,0.0,-,6.78,False,False,False,True
82,tacuarembo#av-uruguay,av-uruguay#tacuarembo,que finito no pasa una gillette entre el camion y los contenedores calle cerrada en tacuarembo y uruguay mientras la obra avanza municipiob carlosvarelamvd montevideoim imambiente imtransito https t co h8oamktndt,cruces_vias,tacuarembo#av-uruguay,73707.5591453,cruces_vias,92.047,True,True,True,True
83,-,-,hicieron una ola de basura en el montevideo shooping y me parece algo excelente que en un lugar tan concurrido hagan este tipo de cosas para generar conciencia tendria que haber por todos lados del pais a ver si dejan de ser tan mugrientos https t co m3tnbnxiec,-,-,0.0,-,16.98,False,False,False,True
84,-,-,si sera pesima la gestion frenteamplista de la intendencia de montevideo que despues de 30 anos de gobierno el intendente di candida hace una conferencia de prensa para manifestar su orgullo porque levantaron la basura,-,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,17386.7554265,geonames,48.4,False,False,True,False
85,plaza-zabala,plaza-zabala,el mamarracho que la im instalo en plaza zabala vive y lucha gracias al intendente transgresor que gasto casi medio millon de dolares mientras tanto mvd sigue sucio y con barrios enteros donde la mugre es moneda corriente cuales son las prioridades https t co s5ropkguec,lugares_interes,cine-plaza&plaza-cagancha-1129,212.13265625,lugares_interes,55.655,True,True,False,True
86,-,-,la mejor marca que puede dejar di candia es limpiar mvd y levantar la basura en muchos barrios los vecinos pagan sus impuestos y la im no cumple menos humo y mas gestion https t co xnyuews8yv,-,-,0.0,-,16.825,False,False,False,True
87,-,-,im going for the warriors but these refs are basura,-,edificio-the-life&edificio-the-life,13.0223883004,geonames,11.132,False,False,True,False
88,-,-,tras el final del partido varios hinchas que se juntaron en la explanada de la montevideoim se pusieron al hombro la limpieza de la zona mundialxlatele fotos focouy https t co angpyijyrq,-,edificio-explanada-san-jose&edificio-explanada-san-jose,214.10259,geonames,18.361,False,False,True,False
89,-,-,andabamos con pilos de bolsas blancas por montevideo,-,pajas-blancas&pajas-blancas-playa-pajas-blancas,1924.49352923,geonames,14.641,False,False,True,False
90,-,-,hace solo 54 dias que gremio ganaba la libertadores 2017 y hoy ya empieza la edicion de 2018 me encanta el nuevo formato de fechas de este glorioso torneo un partido tras otro casi sin descanso montevideo wanderers y el tricampeon olimpia abren fuego esta noche y ahi estaremos,-,nuevo-paris&balneario-nuevo-paris-nuevo-paris-nuevo-paris,602.543200601,geonames,36.092,False,False,True,False
91,municipio-a&municipio-a,municipio-a&municipio-a,28feb siguiendo orientaciones del pdte nicolasmaduro alc wilfredordaz continua con el plan de embellecimiento en el municipio a traves de la mvzlabella realizando jornada de limpieza y desmalezamiento en la plaza de las flores ruta2020 lealessiempretraidoresnunca https t co zyeir904yo,geonames,municipio-a&municipio-a,45947.0759,geonames,60.156,True,True,True,True
92,-,-,todavia no entiendo como montevideo puede ser tan frenteamplista es la ciudad donde mas se puede ver la decadencia del pais una ciudad sucia donde hay gente durmiendo en cada esquina donde hay mayor nivel de delincuencia que les pasa,-,-,0.0,-,19.045,False,False,False,True
93,-,-,quien pretende ser presidente aumento 26 los gastos de funcionamiento de una intendencia ya hipertrofiada en gastos y plantilla y cuya gestion se centra en actividades ajenas a la competencia departamental mientras montevideo es un basural sevan https t co arbwcqsl33,-,hotel-presidente&hotel-presidente,8682.91992188,geonames,23.101,False,False,True,False
94,-,-,no puede con las picadas no puede con los ruidos molestos no puede con adeom no puede con la basura y quiere ser presidente dmartinez uy es el emparejamiento para abajo que nos regala la izquierda,-,hotel-presidente&hotel-presidente,8682.91992188,geonames,14.423,False,False,True,False
95,-,-,acabo de escuchar la noticia de que multaron a uno por tirar la poda fuera de un contenedor en pocitos montevideoim en otros barrios queman los contenedores arman basurales pero no pasa nada se cobra al que le pueden cobrar solamente,-,pocitos&pocitos,20056.55603,geonames,28.03,False,False,True,False
96,-,-,empezo la copa libertadores con el 0 0 entre montevideo wanderers y olimpia posibles rivales de boca en el grupo https t co nkpetjfs0y,-,-,0.0,-,14.128,False,False,False,True
97,-,-,excelente juan castillo denunciando la campana de fakenews y difamacion orquestada contra la leytrans ensuciar https t co 5tlyqjpbxc,-,hogar-la-campana-fundacion-peluffo-guigens&hogar-la-campana-fundacion-peluffo-guigens,3033.85408163,geonames,89.317,False,False,True,False
98,-,-,montevideo esta sucio oscuro lleno de pozos y sin obras que transformen a la ciudad solo basta con salir a recorrer sus barrios y la realidad golpea llego la hora de tener una im que cubra las necesidades del vecino moderna y cerca de la gente vamos por el cambio,-,-,0.0,-,15.078,False,False,False,True
99,-,-,termina el domingo con dos noticias martinez dice que en montevideo hay tolerancia cero con la basura y una comunista del mides comento que le falta lectura basica sobre los indigentes que duermen en la calle buenas noches,-,cero-golf-club&cero-golf-club,88.8926563265,geonames,22.191,False,False,True,False
100,-,-,int martinez tranca fuerte por limpieza escencialidad y privatizacion si hubiera elecciones todos los anos montevideo seria dubai https t co krgiwd05nr,-,punta-de-fuerte&punta-de-fuerte,761.56084224,geonames,13.618,False,False,True,False
101,-,-,se compraron nuevos camiones se compraron nuevos contenedores supuestamente no hay paro de adeom y en zonas de la ciudad hace dia que no se levanta la basura cual es la razon no da para mas https t co 5z93xlqfer,-,maronas-entertainment-ex-sede-del-diario-el-dia&maronas-entertainment-ex-sede-del-diario-el-dia,0.164314959961,geonames,16.763,False,False,True,False
102,-,-,a 28 anos de gobernar montevideo y 14 el pais hay 5000 personas que viven de la basura en la capital dejate de joder 5000 personas y no pudimos resolverlo https t co hessgfukaq,-,-,0.0,-,13.636,False,False,False,True
103,-,-,ya palpitando el mal llamado clasico olimpia de mi vida en montevideo uruguay https t co 4umv5xdqqj,-,cempre-uruguay&cempre-uruguay,1514.6396125,geonames,50.293,False,False,True,False
104,-,-,45 st 3 montevideo wanderers 0 0 olimpia conmebol libertadores 2018 1ra fase ida zdpy via enriquelugo95,-,edificio-via-moretti&edificio-via-moretti,7.261072065,geonames,33.504,False,False,True,False
105,-,-,miente y sigue con la campana sucia el error de macri fue precisamente no fue implementar un shock de austeridad que cortara el despilfarro no se animo siguio con la fiesta y esta pagando el costo portalmvd https t co vwswqd4w9v,-,hogar-la-campana-fundacion-peluffo-guigens&hogar-la-campana-fundacion-peluffo-guigens,2427.67959184,geonames,13.747,False,False,True,False
106,-,-,que pasa con el estiercol de los caballos que estuvieron ayer en la asuncion del nuevo gobierno como parte del operativo de limpieza el estiercol que no estaba mezclado con otros residuos fue llevado a nuestra planta de tratamiento de residuos organicos para reciclarlo https t co rg0tkfzrvp,-,edificio-torres-del-nuevo-mundo&edificio-torres-del-nuevo-mundo,4413.32577053,geonames,35.632,False,False,True,False
107,-,-,hicieron una ola de basura en el montevideo shooping y me parece algo excelente que en un lugar tan concurrido hagan este tipo de cosas para generar conciencia tendria que haber por todos lados del pais a ver si dejan de ser tan mugrientos https t co m3tnbnxiec,-,-,0.0,-,18.837,False,False,False,True
108,av-italia#av-dr-americo-ricaldoni,av-dr-americo-ricaldoni#av-italia,limpiavidrios que esta siempre en ricaldoni y av italia frente a la ancap vio a un ciego que intentaba cruzar fue y lo ayudo en los dos tramos del cruce este tipo de gestos debemos imitar si pasas por ahi y te pide una moneda dale es buen tipo https t co k6b0vpnfq9,cruces_vias,av-italia#av-dr-americo-ricaldoni,220945.80342,cruces_vias,88.965,True,True,True,True
109,-,-,dos dias con raffointendenta y ya hemos cosechado estas expresiones de desprecio de burocratas oficialistas prueba irrefutable de que vamos por buen camino montevideo volvera a ser una ciudad integrada limpia moderna y segura https t co wzy4q8v4r6,-,-,0.0,-,10.164,False,False,False,True
110,-,-,uruguay se muere nunca vi tantas empresas cerradas nunca vi tan pocas posibilidades de crecer nunca vi tanta desintegracion social montevideo esta decadente sucia ruidosa y maloliente nunca vi tanta miseria en todos lados,-,cempre-uruguay&cempre-uruguay,1514.6396125,geonames,86.35,False,False,True,False
111,-,-,montevideo se convirtio en una ciudad del cuarto mundo mugre por todos lados gente durmiendo en las esquinas mangueando plata y drogandose locales vacios por todos lados la mayoria grafiteados casas para vender por doquier colas en las embajadas para irse no se que festeja el fa,-,ciudad-del-plata&ciudad-del-plata,46907.7125,geonames,29.264,False,False,True,False
112,-,-,no se puede decir que montevideo este sucia no esta sucia no no se puede decir,-,-,0.0,-,5.992,False,False,False,True
113,-,-,ya llegan los reyes magos acordate de desarmar y doblar las cajas de carton antes de tirarlas si queres dar un paso mas llevalas a los contenedores especificos para residuos secos la ubicacion la buscas en https t co jstmbkafql https t co 71it88c5me,-,casa-mario-paysee-reyes&casa-mario-paysee-reyes,53.7310373346,geonames,44.015,False,False,True,False
